TW,#genre#
TVBS新闻,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
东森财*新闻,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
华视新闻,http://seb.sason.top/sc/hsxw_fhd.m3u8
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live,http://seb.sason.top/sc/sllive_fhd.m3u8
台视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8


CCTV,#genre#
CCTV-1 综合,http://192.168.123.1:8888/udp/239.253.254.77:8000
山东卫视,http://192.168.123.1:8888/udp/239.253.254.78:8000
青岛QTV-1,http://192.168.123.1:8888/udp/239.253.254.249:8000
CCTV-2 财经,http://192.168.123.1:8888/udp/239.253.254.232:8000
CCTV-3 综艺,http://192.168.123.1:8888/udp/239.253.254.191:8000
CCTV-4 亚洲,http://192.168.123.1:8888/udp/239.253.254.111:8000
CCTV-4 欧洲,http://192.168.123.1:8888/udp/239.253.254.186:8000
CCTV-4 美洲,http://192.168.123.1:8888/udp/239.253.254.187:8000
CCTV-5 体育,http://192.168.123.1:8888/udp/239.253.254.192:8000
CCTV-5+赛事,http://192.168.123.1:8888/udp/239.253.254.80:8000
CCTV-6 电影,http://192.168.123.1:8888/udp/239.253.254.193:8000
CHC家庭影院,http://192.168.123.1:8888/udp/239.253.254.152:8000
CHC动作电影,http://192.168.123.1:8888/udp/239.253.254.153:8000
CHC高清电影,http://192.168.123.1:8888/udp/239.253.254.154:8000
CCTV-7 军事,http://192.168.123.1:8888/udp/239.253.254.233:8000
CCTV-8 电视剧,http://192.168.123.1:8888/udp/239.253.254.194:8000
CCTV-9 纪录,http://192.168.123.1:8888/udp/239.253.254.79:8000
CCTV-10 科教,http://192.168.123.1:8888/udp/239.253.254.234:8000
CCTV-11 戏曲,http://192.168.123.1:8888/udp/239.253.254.169:8000
CCTV-12 社会与法,http://192.168.123.1:8888/udp/239.253.254.235:8000
CCTV-13 新闻,http://192.168.123.1:8888/udp/239.253.254.175:8000
CCTV-14 少儿,http://192.168.123.1:8888/udp/239.253.254.236:8000
CCTV-15 音乐,http://192.168.123.1:8888/udp/239.253.254.170:8000
CCTV-16 奥运,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
